Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024,1,Buenos Aires,2.2451947721383396,42.33676068803633,71.32519405236933,10.915512283141927,13.776838311733314,37.64581333709883
2024,1,Capital Federal,0.36179291474145275,17.506068418824796,7.987413892362972,0.0,6.511608566082195,10.627027212688697
2024,1,Catamarca,0.0,0.0,2.142457268774939,0.0,0.0,0.0
2024,1,Chaco,0.0,0.28905991457267094,2.456951144462311,0.24799353419919928,1.4558181440155242,0.32915503466226004
2024,1,Chubut,0.0,0.5705545080232424,0.943958072777083,1.9368456665977483,1.1128976367038603,0.44466155399126434
2024,1,Córdoba,0.8242543368131537,6.305221841690075,18.120977507791874,4.2114542413021825,1.0528796174371058,7.402095573573104
2024,1,Corrientes,0.0,0.6995112941085928,1.4169098525003474,0.398736913331955,0.4617090581467877,0.3470996475574222
2024,1,Entre Ríos,0.0,1.8183476353561396,2.52512258551208,1.4167998045223014,1.339524568577171,1.4054425377392155
2024,1,Formosa,0.0,0.0,0.6085402894407719,0.8830705035430333,0.0,0.0
2024,1,Jujuy,0.0,0.16844576134220957,1.9257538760844104,0.0,0.0,0.04300295578534396
2024,1,La Pampa,0.0,0.2902759071843614,1.3092331209179522,1.0958404601244291,0.0,0.07461783737265221
2024,1,La Rioja,0.0,0.23540231654288682,0.8141266154487523,0.09702460387572129,0.0,0.0
2024,1,Mendoza,0.0,0.473813829991919,7.260992992277609,1.691671522282578,0.0,1.4515825568592728
2024,1,Misiones,0.0,0.575849463193135,3.133305540666627,0.6219574084168186,0.6931873310693741,0.6879938632629656
2024,1,Neuquén,0.0,0.5102320390964713,1.5482897584023187,1.4496550946375204,0.0,0.3955829232316332
2024,1,Río Negro,0.0,0.14741986377804286,2.5532725865046753,0.9493825536153976,1.930556518123224,0.44727958981561167
2024,1,Salta,0.0,0.9081540770385192,2.341016020487166,0.5038437682085597,0.6378820431076304,0.6903218543021084
2024,1,San Juan,0.0,0.0,1.6803843328767396,1.3900343965565851,0.7006722572596854,0.0
2024,1,San Luis,0.0,0.017093161965598184,1.1497429178329661,5.552205702685939,0.0,0.3333301530177061
2024,1,Santa Cruz,0.0,0.0,1.8646497131399757,0.20250737740352986,0.0,0.0
2024,1,Santa Fe,0.5942680180578289,5.53611421095163,14.758183947749787,2.936413360148864,1.6455748839143391,6.153292485359417
2024,1,Santiago Del Estero,0.0,0.6245045599722938,0.9702419947193933,0.14679623329511493,0.14124332940605724,0.09115802288682338
2024,1,Tierra Del Fuego,0.0,0.1209143033054989,0.04379330196732376,0.0,0.0,0.0
2024,1,Tucumán,0.0,0.0,8.074881384868878,0.0,0.0,1.1615225061395993
2023,4,Buenos Aires,2.529340436739268,42.44507638434602,70.75266511821809,9.990977952371107,9.154064730750571,37.394413203143934
2023,4,Capital Federal,0.2004744245569504,17.83484819332743,7.144263792110853,0.0,3.8698454501351445,10.395418818945267
2023,4,Catamarca,0.0,0.0,2.098584559188454,0.0,0.0,0.0
2023,4,Chaco,0.0,0.3098087505291107,2.371111508149207,0.24799353419919928,0.06972070136530598,0.2668946316908275
2023,4,Chubut,0.0,0.5705545080232424,0.9367319794334267,1.9124861379997369,1.1128976367038603,0.4407993786935391
2023,4,Córdoba,1.0059638914126328,6.345180282448917,17.38848192484069,4.267165385410597,0.964862429828817,7.37998347508
2023,4,Corrientes,0.0,0.7073151960595683,1.3255910904651302,0.3982106272202695,0.4615704484025227,0.35914413890092106
2023,4,Entre Ríos,0.0,1.8382345018663178,2.3459392928751512,1.4232656053230082,1.339524568577171,1.421356837137945
2023,4,Formosa,0.0,0.0,0.5398924026760368,0.8988590868935962,0.0,0.0
2023,4,Jujuy,0.0,0.1682918382268057,1.8806106445913486,0.0,0.0,0.042751074787666224
2023,4,La Pampa,0.0,0.2911224843190826,1.2605959541818037,1.1184707629269026,0.0,0.0679849711004719
2023,4,La Rioja,0.0,0.23537153191980606,0.7932027077998134,0.09694942014548052,0.0,0.0
2023,4,Mendoza,0.0,0.4736291222534344,7.132352649236695,1.6918970734733003,0.0,1.4268066259967904
2023,4,Misiones,0.0,0.5979989994997499,2.89047704127211,0.5881247298084694,0.7321366692078453,0.6710262433284929
2023,4,Neuquén,0.0,0.5177127025050987,1.5485279812598018,1.4498806458282427,0.0,0.3984910038411852
2023,4,Río Negro,0.0,0.14837418709354677,2.451392611121037,0.9156250587372893,1.930556518123224,0.42741915478659764
2023,4,Salta,0.0,0.9035825605110247,2.3115160899688325,0.5037685844783188,0.6385750918289556,0.7046027435946853
2023,4,San Juan,0.0,0.0,1.5925198022750282,1.2965810198673007,0.7006722572596854,0.0
2023,4,San Luis,0.0,0.017093161965598184,1.093998769181903,5.552205702685939,0.0,0.32260612872263894
2023,4,Santa Cruz,0.0,0.0,2.0910011315585733,0.19408679961656297,0.0,0.0
2023,4,Santa Fe,0.7421244462984632,5.518459229614807,14.022631171460901,2.9634043193053023,1.613833252477649,6.0839336179079755
2023,4,Santiago Del Estero,0.0,0.6240427906260823,0.8611756298016795,0.14672104956487417,0.14124332940605724,0.08251774139072658
2023,4,Tierra Del Fuego,0.0,0.12193019586716435,0.0437138943481627,0.0,0.0,0.0
2023,4,Tucumán,0.0,0.0,7.833363111190518,0.0,0.0,1.1748035041989706
2023,3,Buenos Aires,2.7317521538238547,42.236895370762305,68.9916423480833,9.985564723793772,9.189271605793888,37.063281284287775
2023,3,Capital Federal,0.2296752206851935,17.934959787586102,6.545053897921505,0.0,3.8702612793679396,10.34669892778839
