Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2024,1,Buenos Aires,61.10914454277286,3.050936724099014,2.9835039817974973,5.855935924216016,9.62541430723674,10.498410393771747,103.2599672310213,18.88722656692735,37.93751093356812
2024,1,Capital Federal,0.9651917404129794,0.478970732074336,0.0,1.0180545761764745,1.130053509273209,0.4389816506871605,34.825917975944016,0.0,10.71771497557609
2024,1,Catamarca,0.0,0.0,0.0,0.0,0.0,0.024933036273061808,1.4983679016422593,0.0,0.0
2024,1,Chaco,0.30442477876106194,0.0,0.0,0.0,0.0,0.41504994117205296,2.878475353409625,0.5516642109637689,0.3432304152160665
2024,1,Chubut,0.00943952802359882,0.0,0.016278525061901895,0.4983701653783212,0.5338666943737337,1.8712794452649761,0.7756722086037621,2.489629377762666,0.45959626057552383
2024,1,Córdoba,0.0,0.8759310811827552,1.1295589908318275,1.9861896462261013,1.533856304223596,2.8403634816131373,19.83494849681836,2.1979674336015718,7.4687910309177274
2024,1,Corrientes,0.0,0.06846738394402227,0.0,0.0897806043027634,0.0,0.04235612186146644,2.559117523782912,0.918281763572481,0.36130852943268477
2024,1,Entre Ríos,0.0,0.30923181099992475,0.0,1.0189060816114741,0.24701542937295443,0.5662502816231507,4.204094852222067,2.086894102535041,1.4275251015500194
2024,1,Formosa,0.0,0.0,0.0,0.0,0.0,0.0,0.5425552182693407,0.020627904340927122,0.0
2024,1,Jujuy,0.0,0.0,0.0,0.0,0.7634474518156787,0.0,1.4321186795879746,0.2726963617817069,0.054949470094408356
2024,1,La Pampa,0.0,0.0,0.03737535970019407,0.10955149612165883,0.2095693282767936,0.3763987283150174,0.8352914279908044,0.21663077562431524,0.0867995547754942
2024,1,La Rioja,0.0,0.0,0.0,0.0,0.6064315029352174,0.3141162039702606,1.3124484015597018,0.0,0.0
2024,1,Mendoza,0.0,0.10683921450605673,0.0,0.2060643152698873,0.8258299132422463,0.6058026885623451,4.984148959140386,0.8161245230269372,1.474008385446003
2024,1,Misiones,0.0,0.14114814536152284,0.0,0.35159191602027645,0.0,0.20677397551756077,3.0685100275615054,1.263440250859496,0.7047388727515297
2024,1,Neuquén,0.06843657817109144,0.0,0.0,0.008674711619057756,0.012987687672086861,0.1362805717575788,1.9648051007836613,3.022781366882013,0.41015250284993665
2024,1,Río Negro,0.011799410029498525,0.0,0.0,0.11934380862415349,0.29144371136162917,1.7082634490700177,1.8295378049864732,2.3288375080282595,0.4622337736237161
2024,1,Salta,0.016519174041297935,0.0,0.0,1.367038756802065,0.0,0.0,2.4571780574854256,0.9793343156144925,0.707084183187969
2024,1,San Juan,0.0,0.0,0.0,0.0,0.05895371188113668,0.0,0.7758500247672513,3.4137292682005365,0.0
2024,1,San Luis,0.0,0.0,0.0,0.2820079562539083,0.0,6.937392044458908,0.7937078480433871,0.876874834712305,0.347436594916828
2024,1,Santa Cruz,0.0,0.0,0.0,0.0,0.0,0.5504293188474729,0.28009856095919117,5.083304998299898,0.0
2024,1,Santa Fe,0.8519174041297936,0.6292980212173651,0.5594425483503982,3.721983475472652,2.0122188165618993,2.6960722957919243,14.62689088438139,2.418300653594771,6.210697306930008
2024,1,Santiago Del Estero,0.17227138643067846,0.0,0.0,1.0658453187158234,0.5861083692659359,0.4228602898840964,0.5869584545235161,0.11356681400884053,0.10346279318783437
2024,1,Tierra Del Fuego,0.0,0.0,0.0,0.0,0.07732349732453633,1.4378050917465641,0.06237536992112583,1.0511164003173523,0.0
2024,1,Tucumán,0.0,0.0,0.0,0.1799337422333391,0.5437996779053458,0.0009011940821588605,5.051058641230488,0.04873625750878386,1.1817903946080928
2024,4,Buenos Aires,63.249557522123894,3.2694304416522457,3.1040955631399316,6.018626681390614,9.806867889241,10.94480186246777,102.60849961261479,14.082209377007064,37.68424047505993
2024,4,Capital Federal,0.9651917404129794,0.34745316379504926,0.0,0.929391572757148,0.9869188009766741,0.4261646681853456,34.3376347910025,0.0,10.48438350054884
2024,4,Catamarca,0.0,0.0,0.0,0.0,0.0,0.02543369965203895,1.4700951316474669,0.0,0.0
2024,4,Chaco,0.30442477876106194,0.0,0.0,0.0,0.0,0.4161514006058027,2.5955190326800706,0.5855151309078545,0.2805068177405433
2024,4,Chubut,0.00943952802359882,0.0,0.023773673291842334,0.485517755218797,0.526344225674061,1.8647708213382732,0.771125195280251,2.4819222486682535,0.45570535211375907
2024,4,Córdoba,0.0,0.928297344067414,1.2416014187244864,2.0758904218943335,1.7018026910488857,2.5408666483090094,19.410374303024145,2.553250972836148,7.4465144265427625
2024,4,Corrientes,0.0,0.09841245955910015,0.0,0.12847088250555475,0.0,0.3518662227451373,2.428346436691095,0.9548528467263592,0.3734426273628522
2024,4,Entre Ríos,0.0,0.32698818749529757,0.0,1.096872048003619,0.269915320276378,0.5670513430295141,4.089657449862193,2.148400015112018,1.4435577974843663
2024,4,Formosa,0.0,0.0,0.0,0.0,0.0,0.0,0.5040707200284505,0.02788167290037402,0.0
2024,4,Jujuy,0.0,0.0,0.0,0.0,0.7714686477219596,0.0,1.4030838403210852,0.274207563564925,0.05469571519472805
2024,4,La Pampa,0.0,0.0,0.06459546275848223,0.10968454384587752,0.18193152891059275,0.39432247728239916,0.7860871553224188,0.21829309758585516,0.0801173424172461
